Month,AustralianPort,ForeignPort,Country,PaxIn,FreightIn,MailIn,PaxOut,FreightOut,MailOut,TotalPax,TotalFreight,TotalMail,Year,"<< This year is based on the month selected in cell E2 in sheet ""Totals"" - it is only a calendar year if the month in sheet ""Totals"" is set to December",,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,London,UK,"8,541",112.2,7.4,"8,799",25.1,67.4,"17,340",137.3,74.8,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Los Angeles,USA,"15,210",78.2,89.3,"13,596",237.4,48.6,"28,806",315.6,137.9,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Luxembourg,Luxembourg,..,65.1,0.0,..,0.0,0.0,..,65.1,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Manila,Philippines,"4,190",34.1,0.0,"1,993",17.1,0.0,"6,183",51.2,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Mauritius,Mauritius,"1,066",14.0,0.1,"1,046",16.4,0.0,"2,112",30.4,0.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Nadi,Fiji,"3,039",49.1,0.0,"1,980",63.5,0.1,"5,019",112.6,0.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Port Vila,Vanuatu,472,1.8,0.0,733,0.7,0.0,"1,205",2.6,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Queenstown,New Zealand,456,0.0,0.0,348,0.0,0.0,804,0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Rarotonga,Cook Islands,94,0.0,0.0,39,0.0,0.0,133,0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Seoul,Korea,"3,216",46.7,6.3,"2,388",70.9,0.0,"5,604",117.6,6.3,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Shanghai,China,"9,694",146.6,0.0,"6,072",121.3,0.7,"15,766",267.8,0.7,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Singapore,Singapore,"45,922","1,402.8",29.8,"37,141","3,017.0",44.0,"83,063","4,419.8",73.8,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Wellington,New Zealand,"7,882",12.0,0.0,"6,778",22.5,0.0,"14,660",34.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Norfolk Island,Auckland,New Zealand,404,5.7,0.2,504,0.1,0.1,908,5.8,0.3,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Auckland,New Zealand,"6,117",197.6,21.3,"5,773",74.2,0.0,"11,890",271.8,21.3,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Bandar Seri Begawan,Brunei,"4,070",24.3,0.0,"2,778",38.0,0.0,"6,848",62.4,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Bangkok,Thailand,"6,668",96.0,1.5,"3,189",112.0,0.0,"9,857",208.0,1.5,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Denpasar,Indonesia,"17,211",5.1,0.0,"13,227",3.0,0.0,"30,438",8.1,0.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Dubai,United Arab Emirates,"14,998",187.5,5.9,"13,117",501.4,0.2,"28,115",688.9,6.2,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Hong Kong,Hong Kong (SAR),"10,889",189.6,2.8,"8,391",611.3,2.8,"19,280",800.9,5.6,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Jakarta,Indonesia,"3,088",4.6,0.0,"2,502",2.9,0.1,"5,590",7.5,0.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Johannesburg,South Africa,"6,562",27.0,3.2,"5,675",85.1,1.6,"12,237",112.1,4.8,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Kuala Lumpur,Malaysia,"15,861",228.3,0.3,"13,095",149.4,0.0,"28,956",377.6,0.3,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Mauritius,Mauritius,"2,511",12.7,0.1,"1,878",63.8,0.0,"4,389",76.5,0.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Phuket,Thailand,..,..,..,"1,529",0.0,0.0,"1,529",0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Singapore,Singapore,"54,725",829.1,33.5,"41,713","1,733.9",38.9,"96,438","2,563.0",72.4,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Perth,Tokyo,Japan,"2,841",25.4,3.2,"2,472",30.8,2.9,"5,313",56.3,6.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Abu Dhabi,United Arab Emirates,"12,512",193.9,34.1,"11,374",390.0,34.5,"23,886",583.9,68.6,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Anchorage,USA,..,..,..,..,0.0,0.0,..,0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Apia,Western Samoa,"1,896",0.7,0.0,"1,281",1.3,0.0,"3,177",2.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Auckland,New Zealand,"66,843","1,800.2",68.2,"62,341","2,246.5",85.8,"129,184","4,046.7",154.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Bangkok,Thailand,"31,893",800.5,156.4,"23,347",543.2,18.5,"55,240","1,343.7",174.8,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Beijing,China,"8,816",57.9,18.9,"7,994",85.5,5.2,"16,810",143.4,24.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Bombay,India,"2,320",33.0,0.0,"1,708",10.4,5.0,"4,028",43.4,5.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Buenos Aires,Argentina,"6,776",12.1,0.6,"4,627",14.7,0.8,"11,403",26.7,1.4,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Chicago,USA,772,595.4,0.0,670,2.1,0.0,"1,442",597.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Christchurch,New Zealand,"28,027",690.1,6.8,"25,094",244.7,8.1,"53,121",934.8,14.9,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Denpasar,Indonesia,"10,740",210.3,7.3,"8,485",36.1,0.1,"19,225",246.4,7.4,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Dubai,United Arab Emirates,"12,205",410.2,149.7,"12,018",316.9,0.0,"24,223",727.1,149.7,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Dunedin,New Zealand,"1,028",0.0,0.0,"1,190",0.0,0.0,"2,218",0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Frankfurt,Germany,"3,966",262.9,3.7,"4,593",18.7,49.1,"8,559",281.6,52.8,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Fukuoka,Japan,..,..,..,..,0.0,0.0,..,0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Guangzhou,China,"6,498",135.9,13.7,"4,884",4.6,3.5,"11,382",140.4,17.2,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Hamilton,New Zealand,"1,011",0.0,0.0,693,0.0,0.0,"1,704",0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Hanoi,Vietnam,770,0.0,0.0,748,2.2,0.0,"1,518",2.2,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Ho Chi Minh City,Vietnam,"7,436",74.6,0.0,"6,402",4.8,0.0,"13,838",79.4,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Hong Kong,Hong Kong (SAR),"53,150","1,786.6",5.7,"41,196","1,666.4",62.1,"94,346","3,452.9",67.9,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Honolulu,USA,"11,782",87.6,5.8,"8,319",90.7,1.2,"20,101",178.3,7.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Jakarta,Indonesia,"3,656",40.1,0.0,"3,078",85.5,3.2,"6,734",125.6,3.2,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Johannesburg,South Africa,"7,534",74.2,4.2,"6,970",33.4,9.5,"14,504",107.7,13.7,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
