INTERNATIONAL SCHEDULED AIR TRANSPORT - Airline supplied data,,,,,,,,,,,,,,,,,,,,,,
"Country is determined by where ""same flight number"" services Originate or Terminate",,,,,,,,,,,,,,,,,,,,,,
"The true seat utilisation factors for airlines other than Australian Airlines, Qantas Airways, Emirates (for November 2011 onwards), China Airlines (for January 2014 onwards), Philippine Airlines (for December 2015 onwards), AirAsia X (for March 2016 onwards) and Singapore Airlines (for September 2016 onwards), that operate via Australia will most likely be higher than what is calculated using this data. See ""ReadMe"" tab for more information.",,,,,,,,,,,,,,,,,,,,,,
More detailed information on flights and seats by route and city pairs can be found at:,,,,,http://www.bitre.gov.au/publications/ongoing/international_airlines-operated_flights_seats.aspx,,,,,,,,,,,,,,,,,
MONTH,AIRLINE,COUNTRY,FLTS IN,PAX IN,SEATS IN,FLTS OUT,PAX OUT,SEATS OUT,FIN_Y,CAL_Y,,,,,,,,,,,,
Mar-91,Qantas Airways,Thailand,31,"3,329","6,623",31,"4,132","6,623",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,UK,62,"12,209","23,344",62,"14,003","23,328",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,USA,101,"19,362","33,902",97,"22,266","33,237",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Zimbabwe,8,"1,586","3,088",8,"1,539","3,088",1991,1991,,,,,,,,,,,,
Mar-91,Royal Brunei Airlines,Brunei,13,723,"1,924",13,770,"1,924",1991,1991,,,,,,,,,,,,
Mar-91,Singapore Airlines,Singapore,82,"24,248","30,620",83,"25,368","31,056",1991,1991,,,,,,,,,,,,
Mar-91,Solomon Airlines,Solomon Islands,(d),390,(d),(d),413,(d),1991,1991,,,,,,,,,,,,
Mar-91,Thai Airways International,Thailand,42,"4,710","13,253",41,"6,227","13,006",1991,1991,,,,,,,,,,,,
Mar-91,Union de Transports Aeriens,France,8,632,"2,712",9,"1,248","3,128",1991,1991,,,,,,,,,,,,
Mar-91,Union de Transports Aeriens,New Caledonia,9,491,"2,080",8,701,"1,664",1991,1991,,,,,,,,,,,,
Mar-91,Union de Transports Aeriens,Tahiti,5,22,630,5,12,630,1991,1991,,,,,,,,,,,,
Mar-91,United Airlines,USA,62,"15,777","24,862",61,"18,245","24,438",1991,1991,,,,,,,,,,,,
Mar-91,Yugoslav Airlines,Yugoslavia,9,"1,132","2,493",9,"1,687","2,493",1991,1991,,,,,,,,,,,,
Apr-91,Aerolineas Argentinas,Argentina,5,862,"1,500",4,750,"1,200",1991,1991,,,,,,,,,,,,
Apr-91,Air Caledonie,New Caledonia,17,972,"2,007",18,915,"2,133",1991,1991,,,,,,,,,,,,
Apr-91,Air China,China,4,680,"1,080",4,870,"1,080",1991,1991,,,,,,,,,,,,
Apr-91,Nauru Airlines,Nauru,9,250,879,9,259,879,1991,1991,,,,,,,,,,,,
Apr-91,Air New Zealand,New Zealand,215,"29,022","45,642",221,"29,679","46,767",1991,1991,,,,,,,,,,,,
Apr-91,Air New Zealand,USA,..,447,"1,457",..,840,"1,457",1991,1991,,,,,,,,,,,,
Apr-91,Air Niugini,Papua New Guinea,48,"2,840","5,562",48,"3,033","5,562",1991,1991,,,,,,,,,,,,
Apr-91,Fiji Airways,Fiji,40,"4,257","9,190",39,"3,176","8,826",1991,1991,,,,,,,,,,,,
Apr-91,Air Vanuatu,Vanuatu,16,"1,446","2,320",16,"1,414","2,320",1991,1991,,,,,,,,,,,,
Apr-91,Alitalia,Italy,12,"1,006","3,464",12,"1,667","3,464",1991,1991,,,,,,,,,,,,
Apr-91,All Nippon Airways,Japan,21,"4,921","8,222",22,"4,495","8,596",1991,1991,,,,,,,,,,,,
Apr-91,American Airlines,USA,16,"1,787","3,632",16,"1,428","3,632",1991,1991,,,,,,,,,,,,
